# s0, s1, e0, e1, w0, w1, w2
0.634,-0.551,0.100,1.946,-0.412,0.222,0.219
-0.154,0.004,0.101,0.407,-0.086,1.164,0.504
-1.098,-0.186,-0.016,0.829,0.097,0.936,-0.258
-0.884,-0.544,-0.005,1.822,0.130,0.311,-0.227
-0.051,-0.540,0.031,1.940,-0.142,0.135,1.000
0.692,-1.057,0.114,2.057,-0.136,0.533,2.068
-0.256,-0.654,0.179,1.018,-0.153,1.187,1.162
-0.971,-0.404,0.018,0.321,0.021,1.621,0.267
-0.945,-0.838,0.111,1.293,-0.015,1.155,0.098
-0.469,-1.144,0.219,1.929,-0.057,0.789,0.502
-0.140,-1.297,0.311,2.117,-0.147,0.729,1.541
0.425,-1.344,0.354,2.215,-0.149,0.759,2.946
