# s0, s1, e0, e1, w0, w1, w2
9.495704443501451486e-02,-6.118417804180831254e-02,-1.412335918897765996e+00,1.087615534220894187e+00,1.406883498115514719e+00,1.862741937278574511e+00,2.439428231356839838e+00
-1.558361748156750215e+00,-3.335739126047456704e-01,1.015019206791567541e+00,1.784205744287371331e+00,1.955382820077692152e+00,-5.303504251345152465e-01,2.716897555693458699e+00
-1.126668286644761263e+00,-8.411860002922180168e-01,5.497967239323178212e-01,2.343950250727745210e+00,-2.521162186572833974e-02,-3.078576410281785858e-01,-1.221178236097810732e+00
-1.576580227925852951e+00,6.236601102166319244e-01,1.151054346545429929e+00,2.055358407752565508e+00,-2.760095317669297721e+00,1.776362696522230777e+00,1.998740882964817445e+00
-6.771210935210048021e-02,-6.661729406237391071e-01,2.472145283243851743e-01,2.433044590762235337e+00,-2.581016546061123407e+00,5.756954085495729068e-01,2.494784933729234488e+00
-6.769410595153406707e-01,5.711896665908695603e-01,-7.709182135493293231e-01,3.122240207188699268e-02,2.375084115641208804e+00,1.762403163329931299e+00,1.799779746094627875e+00
6.548211191130954845e-01,6.859582919407847257e-02,-1.162414741623150727e+00,2.333580445940693249e+00,2.700114884667733861e+00,9.496803654837200348e-01,2.103954665412081759e+00
-1.252259719764605927e+00,9.924957823114612943e-01,2.586503838346327022e+00,1.479243423349472897e+00,-2.339432177968221005e+00,1.794921951438848140e+00,-1.364188544292821659e+00
-2.455170659215106799e-01,-1.206601817538398791e+00,-2.042576326298486400e-01,2.374074933257107389e+00,2.444222438718984591e+00,-3.075258972542380675e-01,-1.453253405872857007e+00
9.985079862848609267e-01,8.068471039907976206e-02,1.055061657809344133e-01,1.982556071722302748e+00,-1.520771028215740062e+00,1.231139214160368756e+00,1.637568480623412093e+00
-1.077093621800162992e+00,4.018797049688118683e-01,7.284942188787781880e-01,2.072346740286946876e+00,2.678403571483922718e+00,1.423978265561271606e+00,1.808205109595760085e+00
9.848557615736419635e-02,1.006118481356236050e+00,4.511292183041351045e-01,5.842612158383531096e-02,-2.170736439731989709e+00,1.747321864399903557e+00,-1.759757318035504170e-01
-2.876987437956852744e-01,-6.753501056934263502e-02,6.067774878430398644e-02,1.558526244171023700e+00,-2.078731085825925362e+00,1.801391919406371223e+00,-2.715436909687713563e+00
1.153386055775383667e+00,-5.230776025237346971e-01,-5.991751959292264118e-01,2.496458949591666254e+00,2.876063771900648547e+00,3.844337891132278973e-01,-1.124615634202260850e+00
-2.642802934365935386e-01,-1.128999939963718280e+00,4.307315567756297980e-01,2.572225571740892835e+00,-2.181861490822391669e+00,5.805780544227232554e-01,1.362275838193466093e+00
-1.262023266114771669e+00,4.637786886112680307e-01,1.617816031033446400e+00,9.096376893352396964e-01,2.066898837480853679e+00,-1.431783834937373490e+00,-1.857982242900770631e+00
-9.968388651466637551e-01,9.965890567293183011e-01,8.128369666700105967e-01,1.183510237195256165e+00,2.071710675217833142e+00,1.967859556591537995e+00,9.200298237685773373e-01
-9.742894598358169400e-01,-4.783916853115164347e-01,5.620728218669031051e-01,1.391310112847540248e+00,2.649459473928402531e+00,-7.435115275933978918e-01,-2.991213828814666353e+00
1.192863676079840562e+00,5.468544575686418163e-01,-4.046915896489760023e-01,1.552867525805419646e+00,-1.235629044681878064e+00,8.438337748844171315e-01,2.673778851893553465e+00
-1.544642948667959592e+00,2.706871842418099305e-01,9.248417924723009165e-01,1.223328771246444457e+00,3.937137491674271850e-01,1.049635773492404667e+00,-2.861244142440583449e+00
-1.320199732972321405e+00,5.567668529205893613e-01,1.741060583884215696e+00,6.993900623420733487e-01,-9.739703073770904496e-01,1.415663456120188179e+00,1.959291807762181925e+00
-4.787170854860836045e-01,-3.807817648806117727e-01,2.360838667431153226e-01,1.948967491068919866e+00,1.064986720224501582e+00,4.636953882749437206e-01,-7.366177731802290296e-01
-1.598983075546354771e+00,4.676626698542856175e-01,1.093153685545039444e+00,1.462418198431584715e+00,-5.027414982635325380e-01,1.170781552291194405e+00,1.604194826720592992e+00
1.678233402520770134e-01,8.040477025520154086e-01,-2.564546840229170233e+00,8.440290336101461399e-01,2.311154163836234510e+00,1.665150136720686014e+00,-2.359125237633596495e+00
-6.916979891784940104e-01,3.529517811728539733e-01,-1.579095686414155209e+00,6.386613334840256506e-01,2.136553991721408252e+00,1.663339202894625224e+00,-8.193911623289547030e-01
-1.226209049668932183e+00,1.397140752071202030e-03,1.052230543658346562e+00,1.367665097225642112e+00,2.055861263812786000e+00,-1.416383437126094158e+00,-1.001769861927188643e+00
6.131111377702946896e-02,-1.929947071706346051e-01,-7.657440455969308779e-01,1.789388152872532389e+00,-8.093148483700134399e-01,2.722031840085437082e-02,2.263056231140672558e+00
-1.108656547996855091e+00,1.922167053696099970e-01,9.047597572010439571e-01,-4.101031082959948754e-02,-1.947084970204762122e-01,1.975525865486733146e+00,-2.414100079485881789e+00
3.355956375189173002e-01,-7.995714900060704178e-01,-8.419912826568212161e-01,2.121118640556413748e+00,2.790024136874968086e+00,1.112159607269762596e-01,1.392152154876352022e+00
-8.185831947938634334e-01,4.388935509221143505e-01,3.444385195178312209e-01,1.489174887761940402e+00,-2.944918417826868584e+00,2.071140751944549940e+00,8.776489907096216569e-01
8.188189632600524348e-01,-5.621571178178734751e-01,-6.609551183013282483e-01,1.878328542106699084e+00,-2.718623293195618906e-01,6.920306972452809902e-01,2.853030856904408274e+00
6.157608798206473111e-01,6.297876445215946362e-01,-1.417534678239916746e+00,3.977835693610610179e-01,-2.935580963514758501e+00,-1.507471712373062545e+00,-9.776297369459197029e-02
4.023805036122278800e-01,-7.372611811718745578e-01,2.984635856024056011e-01,2.358865170970820824e+00,-1.815622371690695624e+00,8.498865822523975488e-01,2.195944357671907987e+00
-1.191541941531546467e-01,-1.949716812737036786e-01,-1.031777341764928746e+00,1.687288135841021663e+00,1.741557366869520784e+00,1.191767507613040511e+00,4.135498667812256279e-01
5.224786238528698057e-01,-7.579095089523146811e-03,-1.103584225195270774e+00,1.298150784848888684e+00,3.969230848265539180e-01,1.309257100155296616e+00,-1.135476452196800601e+00
1.394585534955793182e+00,-6.409029287225684879e-01,-5.277056065720162614e-01,2.254511039872959977e+00,1.804595472842339454e+00,-1.726442384645192618e-01,-2.097495539789594243e+00
-9.930480305549569398e-01,-4.936342262640160961e-01,1.318023164975603123e+00,1.975965440102313453e+00,-1.257239615396651855e+00,1.049769384772149206e+00,9.707575861446953169e-01
-1.010047458899744566e+00,9.887696193567752090e-01,2.942469371661219135e+00,9.790011214222239799e-02,-2.008594037995012904e+00,2.042779581824881507e+00,2.424448959024271488e+00
5.718602281558649025e-01,-2.311589327122933746e-01,-1.216585886017519824e+00,1.171959430455060458e+00,9.137886051664438902e-01,1.560009310734765897e+00,1.752504015070603494e+00
-1.530362586628550847e-01,-5.419910713575248895e-01,1.592936291204742894e-01,2.189577299878219918e+00,1.283593613382954857e+00,-1.024793953990537521e+00,1.448878841765830039e+00
-8.183507651214869671e-01,-9.361634731469350434e-01,9.946205955984144254e-02,2.209933218860561155e+00,-1.475178085764997649e+00,-5.782851839857240384e-01,1.512924720902776521e+00
