# px, py, pz, ox, oy, oz, ow
9.840754947471215541e-02,7.203747987680101383e-01,-2.238205642048465560e-01,7.372228624546853792e-01,-6.755244428233687648e-01,9.001237373745066619e-03,9.389139910464848818e-03
6.685224530449042080e-01,7.388505633012638629e-01,-2.152158490007133329e-01,8.058335755027984382e-02,-9.966859663583731432e-01,-8.639516505166131011e-03,6.983244444374183714e-03
7.658252922062863677e-01,5.267150828759081110e-02,-2.192683234378812185e-01,5.767797272134210507e-02,9.978443496122546552e-01,3.088738686754050750e-02,5.086722558814022951e-03
5.718331515379085905e-01,2.217300553394794815e-01,-2.186111025794578722e-01,8.185759400782087339e-04,-9.998120691884569977e-01,-1.840947765589529689e-02,6.020578917398179512e-03
4.144154155574447662e-01,5.950199620630367559e-01,-2.291818812459783250e-01,5.485512841064670714e-02,9.983126570227141006e-01,1.606780660091241403e-02,1.022640240601230439e-02
7.218420949011493393e-02,7.781723361460635147e-01,-2.249894813978825514e-02,1.871778654645417928e-01,9.820520514530477474e-01,2.310312178804533809e-02,2.112031974548006421e-03
6.803541191305486624e-01,7.004280685630088765e-01,4.215621742688824281e-02,2.327009081271745605e-01,9.724218815595535581e-01,1.200129120846157166e-02,1.009656522110900095e-02
8.710060203182918848e-01,1.261904718478992771e-01,1.141402262086466113e-01,2.203060720592407984e-01,9.751121464941487904e-01,1.945817451891210248e-02,1.558575688097263261e-02
7.445707434941337688e-01,2.201892913661175621e-01,6.672603524663972552e-02,-8.349850616855641894e-02,-9.958865815469942762e-01,-3.007806613987942801e-02,1.825448163389914794e-02
5.338966056515458414e-01,5.277243301060997593e-01,4.884552518829962664e-02,2.701156093129293209e-02,-9.993218064126107025e-01,-2.345541461435930383e-02,8.726186361512641362e-03
3.791916467082451225e-01,6.403076060928246660e-01,6.973226238690460876e-02,2.420562629866101489e-01,9.700321582221372863e-01,1.556648564378534071e-02,1.428503022565178610e-02
1.087432813482020477e-01,6.899262840874644809e-01,6.499060199539141713e-02,5.961763940049144006e-01,8.025141611454307267e-01,-9.025513703169353238e-03,2.152367289032461675e-02
