# px, py, pz, ox, oy, oz, ow
6.047476763862399407e-01,4.940594804692768349e-01,3.953107530356644861e-03,-9.486918598448340623e-01,-2.440947601545860324e-01,1.880613398903052957e-01,7.095375654527874554e-02
7.182716607024448585e-01,3.797181480921828500e-01,-6.257185733196424238e-02,-5.369505501918782064e-01,8.125640000258275153e-01,8.687936764624396013e-02,2.094655770957481733e-01
6.029307607111650258e-01,4.448757524006017317e-01,-4.132089819428910737e-02,-5.616147352529140546e-01,7.774708306328956819e-01,2.608607355866485525e-02,2.818643528864307468e-01
5.683907533674580348e-01,3.123282184787304905e-01,-1.914129848506576081e-01,3.011078285286672984e-01,9.203690829854308530e-01,-7.927254717235662773e-02,2.365812544309331411e-01
3.711860267948464132e-01,5.923828387325112965e-01,-1.578742852490102877e-01,-4.539512540904437343e-01,8.759851450197754241e-01,7.741112655442177609e-03,1.628445878414418735e-01
6.364004966490310888e-01,6.585418735484650510e-01,-6.209658127171203967e-04,-5.829621150290862364e-01,-3.149651348403504358e-01,-1.954332050816450228e-01,7.230200540976231549e-01
6.777410687338439876e-01,3.833293402647631742e-01,-1.775897757995872905e-02,-9.126585790704094814e-01,1.205756001248520642e-01,-3.879500491773267834e-01,4.483973736596447157e-02
7.333058332716011485e-01,3.824060229201130534e-01,-7.821323111482179902e-02,-7.136925734788117648e-01,6.568676493576954822e-01,1.388573589743832271e-01,1.997158873178224159e-01
5.448181417557683703e-01,3.441637703584481400e-01,8.827635537217826123e-03,3.276670158029894031e-01,9.314606434132702839e-01,-4.950822762810438288e-02,1.502142866841383873e-01
3.385494829990507437e-01,4.915999069258986109e-01,-1.692273760964227436e-01,-7.025339787235971301e-01,4.367140198711898513e-01,-4.805479461766675731e-01,2.912053313593764847e-01
5.677171448850480973e-01,6.727509772243690511e-01,-9.750076955567507642e-02,-2.979728190781835151e-01,7.771503440268552332e-01,1.105956172411592386e-01,5.431557339443149335e-01
5.983237791332008948e-01,3.603968114188884631e-01,-1.880536877497447079e-01,5.572813262421426606e-01,-2.963161873160929383e-01,7.677218041294958661e-01,1.106231079856311028e-01
7.851982750340806838e-01,2.910837980034763350e-01,6.604309069752670180e-02,3.313907776989652443e-01,5.322958288587578135e-01,-2.267647887142556357e-02,7.786700715589605082e-01
